Mula sa https://tl.wikipedia.org/wiki/Talaan_ng_mga_salitang_hiniram_ng_Tagalog

Abante 	Avante 	Pasulong, Pausad
Abelyana[11] 	Avellana 	
Abiso 	Aviso 	Babala
Ahedres 	Ajedrez 	
Ahente 	Agente 	Kinatawan
Alemanya 	Alemania 	
Amarilyo 	Amarillo 	Dilaw
Antena 	Antena 	
Aparador 	Aparador 	
Asoge (Hg) 	Azogue 	
Asul 	Azul 	Bughaw
Asupre (S) 	Azufre 	Sangyawa
Atenas 	Atenas 	
Baryo 	Barrio 	Barangay, Bukid, Nayon
Baso 	Vaso 	
Basura 	Basura 	Kalat, Dumi
Bentilador 	Ventilador 	
Bisagra 	Bisagra 	
Bisikleta 	Bicicleta 	
Bruha 	Bruja 	Mangkukulam
Bulsa 	Bolsa 	
Busina 	Bocina 	
Britanya 	Bretaña 	
Datos 	Datos 	
Departamento 	Departamento 	Kagawaran
Dinero 	Dinero 	Pera, salapi
Deskaril 	Descarrilar 	
Diyos 	Dios 	Panginoon
Duwende 	Duende 	
Diyaryo 	Diario 	Pahayagan
Ebanghelyo 	Evangelio 	Mabuting Balita
Edad 	Edad 	Gulang
Ekolohiya 	Ecología 	
Ekonomiya 	Economía 	Kabuhayan, Pagtitipid, Katipiran
Ekwador 	Ecuador 	
Elyo (He) 	Helio 	
Embahada 	Embajada 	Pasuguan
Embahador 	Embajador 	
Ensalada 	Ensalada 	
Eroplano 	Aeroplano 	
Espada 	Espada 	
Espanyol/Español 	Español 	Tabak
Espongha 	Esponja 	
Estados Unidos 	Estados Unidos 	
Estadistika 	Estadística 	
Estupido 	Estúpido 	Tanga
Garahe 	Garaje 	Taguan
Gasolina 	Gasolina 	
Gastos 	Gastos 	
Gitara 	Guitarra 	
Gobyerno 	Gobierno 	Pamahalaan
Gwapo 	Guapo 	Makisig, Magandang lalaki
Giyera 	Guerra 	Digmaan
Hapon 	Japón 	
Hapones 	Japonés 	
Hardin 	Jardín 	Halamanan
Hardinero 	Jardinero 	
Hepe 	Jefe 	
Heringgilya 	Jeringuilla 	
Huwes 	Juez 	Hukom, tagahatol
Idroheno (H) 	Hidrógeno 	
Industriya 	Industria 	
Ingles 	Inglés 	
Inglatera 	Inglaterra 	
Intindi 	Entiende 	Unawa
Kalabasa 	Calabaza 	
Kaloriya 	Caloría 	
Kamelyo 	Camello 	
Kampeon 	Campeón 	
Kandidato 	Candidato 	
Kapasidad 	Capacidad 	Kakayahan
Kapilya 	Capilla 	
Keso 	Queso 	
Kloro (Cl) 	Cloro 	
Kobalto (Co) 	Cobalto 	
Kolehiyo 	Colegio 	Dalubhasaan
Kolesterol 	Colesterol 	
Konstitusyon 	Constitución 	Saligang Batas
Kontrabando 	Contrabando 	
Konsepto 	Concepto 	Dalumat
Kordero 	Cordero 	Batang tupa
Korte 	Corte 	Hukuman
Kotse/Awto 	Coche/Auto 	Sasakyan
Kumusta 	¿Cómo está? 	
Kweba 	Cueva 	Yungib
Kwenta 	Cuenta 	Bayarin
Lapis 	Lápiz 	
Libra 	Libra 	
Lingguwistika 	Lingüística 	Dalubwikaan
Loko 	Loco 	Baliw, sira-ulo
Lugar 	Lugar 	Pook
Luho 	Lujo 	Rangya, Karangyaan
Maleta 	Maleta 	
Mani 	Maní 	
Mantika 	Manteca 	
Mantsa 	Mancha 	
Margarina 	Margarina 	
Matematika 	Matemática 	Sipnayan
Matematiko 	Matemático
Memorya 	Memoria 	Alaala, Gunita
Militar 	Militar 	Hukbo, Sandatahan
Minuto 	Minuto 	
Miyembro 	Miembro 	Kasapi, Kagawad
Monarkiya 	Monarquía 	Kaharian
Motorsiklo 	Motocicleta 	
Musika 	Música 	Tugtugin
Mustasa 	Mostaza 	
Nasyonalista 	Nacionalista 	Makabayan, Makabansa
Obispo 	Obispo 	
Oksiheno (O) 	Oxígeno 	
